original_text,simplified_text,target_level,predicted_level
"Ухватившись за руку Ипполита Матвеевича, Лиза рассказала ему обо всех своих огорчениях.",Лиза рассказала Ипполиту Матвеевичу о своих огорчениях.,C1,C2
"Становится так легко, так просторно; и вдали забрезжит свет, я вижу свободу, я вижу, как я и дети мои становимся свободны от праздности, от квасу, от гуся с капустой, от сна после обеда, от подлого тунеядства...","Становится так легко, так просторно. Я вижу свободу. Я вижу, как я и дети мои становимся свободны от праздности, от квасу, от гуся с капустой, от сна после обеда, от подлого тунеядства.",B2,B1
"Вы искренности нашей боитесь больше всего, хоть и презираете нас!","Вы боитесь нашей искренности больше всего, хоть и презираете нас.",C2,B2
Так началась другая жизнь.,Началась другая жизнь.,C2,C2
"Старик думал: ""Не важно, как далеко мы уплывём.","Старик думал, что не важно, как далеко мы уплывем.",C1,A2
Какое длинное и трудное слово!)   — Здравствуйте! — ответила администратор.,Какое длинное и трудное слово? — Здравствуйте! — ответила администратор.,C2,A1
Семья его имеет в Батуме постоянное местожительство.,Семья его живет в Батуми.,B1,A2
"Не теряя драгоценного времени, Остап швырнул шахматной доской в лампу и, ударяя в наступившей темноте по чьим-то челюстям и лбам, выбежал на улицу.","Не теряя времени, Остап швырнул шахматную доску в лампу и, ударяясь в темноте, выбежал на улицу.",C1,C2
"Лук я возьму, и перец тоже.",Я возьму лук и перец.,A1,A1
"— Стойте, выслушайте меня: вы можете ждать?","— Стойте, выслушайте меня: вы можете ждать?",C1,B1
"Она не могла причинить ему вред, не могла вонзить нож в его сердце, даже зная, что это её единственный шанс вернуться в море и избежать судьбы превратиться в морскую пену.","Она не могла причинить ему вред, не могла вонзить нож в его сердце, даже зная, что это её единственный шанс вернуться в море и избежать судьбы превратиться в морскую пену.",A2,A1
"Иногда в октябре уже зима, идёт снег.","В октябре уже зима, идёт снег.",C1,A2
"В голове у Бэйли шумело солнцевое вино, слова слышались плохо.",В голове у Бэйли шумело.,A2,C2
"Она хотела что-то сказать, но голос отказался произнести какие-нибудь звуки; с виноватой мольбой взглянув на старика, она быстрыми лёгкими шагами пошла на лестницу. ","Она хотела что-то сказать, но ее голос отказался произнести какие-либо звуки. Она взглянула на старика с виноватой мольбой и быстро пошла на лестницу.",C1,B1
Но иногда ошибки помогают узнать новое и интересное.,Ошибки помогают узнать новое и интересное.,A2,A2
"Но все попытки достать деньги на проезд по Военно-Грузинской дороге или совершенно не приносили плодов, или давали средства, достаточные лишь для дневного пропитания.","Но все попытки достать деньги на проезд по Военно-Грузинской дороге или не приносили плодов, или давали средства, достаточные лишь для дневного пропитания.",A2,C2
Почему я так думаю?,Почему я так думаю?,C1,A1
"Потому что мне ясно: пока я там, в коридорах, ждал – они как-то взорвали или разрушили Зеленую Стену – и оттуда все ринулось и захлебнуло наш очищенный от низшего мира город.","Потому что мне ясно: пока я там, в коридорах, ждал, они как-то взорвали или разрушили Зеленую Стену, и оттуда все ринулось и захлебнулось наш город.",A1,C1
"Вернувшись домой, он лёг, не раздеваясь, на кровать и крепко заснул.","Вернувшись домой, он лег на кровать и крепко заснул.",C2,B1
"Они давно жили на острове с Питером, наслаждаясь свободной и беззаботной жизнью.","Они давно проживали на острове с Питером, наслаждаясь свободной и беззаботной жизнью.",C2,A1
Львы из тиражной комиссии спали.,Львы из тиражной комиссии спали.,C1,C2
После школы она решила изменить себя.,После школы она решила измениться.,B1,A1
"Он студент, учится в университете.","Студент, учится в университете.",A1,A1
Сегодня утром Ирина проснулась в своей новой квартире.,Сегодня утром Ирина проснулась в своей новой квартире.,B1,C1
"– «Ты бы, – поп мне говорит, – лучше добрые дела делал, чем языком-то так трепать».","Ты бы лучше делал добрые дела, чем языком трепать.",A1,C2
"Чацкий понимает: Софья предпочла человека, который не думает сам, а просто приспосабливается к другим.","Чацкий понимает: Софья предпочла человека, который не думает сам, а просто приспосабливается к другим.",A1,A2
"Да, готовятся к большой войне. ",Готовятся к большой войне.,B2,A2
Я лучше злые буду.,Я лучше буду злым.,A2,A2
"И в наше время дети верят в Деда Мороза, пишут ему письма и просят о новогоднем подарке.","Дети верят в Деда Мороза, пишут ему письма и просят о новогоднем подарке.",C2,A2
Он решительно потерялся и плохо соображал.,Он потерялся и плохо соображал.,A2,A2
"Вам же будет лучше, когда всё будет открыто... ",Когда всё будет открыто...,B1,C2
"– Да, носы, – я уже почти кричал.","– Да, носы, – я уже почти кричал.",B1,C1
А нам бы как поспокойней прожить.,Мы бы хотели жить спокойно.,B2,A1
"Князь был чрезвычайно испуган и в смущении своем не знал, на что решиться.","Князь был испуган и смущен, не знал, что делать.",B2,B2
"даже хорошо поступили, то есть почти ведь так.","Даже хорошо поступили, то есть почти так.",A1,B2
У меня большая радость: я купил новую квартиру.,Я купил новую квартиру.,A2,A1
"Он считал себя здоровым человеком, и проблемы со здоровьем казались ему чем-то далёким и неопределённым.","Он считал себя здоровым человеком, и проблемы со здоровьем казались ему далекими и неопределенными.",C1,C1
На мать свою он не надеялся. ,Он не надеялся на свою мать.,A2,A2
"Он часто смотрел вдаль, погруженный в свои мысли, и говорил все меньше и меньше.","Он часто смотрел вдаль, погруженный в свои мысли, и говорил все меньше и меньше.",A2,A1
"— От Келлера слышал (я к тебе заходил), «в парк-де пошел»; ну, думаю, так оно и есть.","— От Келлера слышал (я к тебе заходил), «в парк-де пошел»; ну, думаю, так оно и есть.",C1,B2
"Чтобы занять это место на железной дороге, мне непременно нужно хоть как-нибудь экипироваться, потому что я весь в лохмотьях.","Чтобы занять это место на железной дороге, мне нужно хоть как-нибудь экипироваться, потому что я весь в лохмотьях.",B1,C2
"Я уж давно приглядываюсь к вам – и вижу: нужно, чтобы об руку с вами в жизни шел кто-нибудь, уж долгие годы изучавший жизнь…","Я давно смотрю на вас и понимаю, что нужно, чтобы кто-то был рядом с вами в жизни.",B2,A2
"Структурные функционалисты отмечали роль семьи для социализации, регулирования сексуального поведения, воспроизводства социального порядка, материальной и психологической безопасности; теоретики конфликта считали, что через семью утверждается социальное неравенство; в микросоциологии рассматривалась эмоциональные аспекты создания семьи (интеракционизм) или отношения выгоды (теория обмена).","Структурные функционалисты говорили о роли семьи в социализации, регулировании сексуального поведения, воспроизводстве социального порядка, материальной и психологической безопасности. Теоретики конфликта считали, что через семью утверждается социальное неравенство.",B1,C1
"— Ну, да уж я довольно перенес чрез вас сегодня.","— Ну, да уж я перенес чрез вас сегодня.",A1,B2
Вы совершенно неспособны мыслить абстрактно.,Вы не способны мыслить абстрактно.,C1,C2
"Она приблизилась с любопытством и недоверчивостью, услышав имена генерала Иволгина и князя Мышкина.","Она приблизилась с любопытством и недоверием, услышав имена генерала Иволгина и князя Мышкина.",C1,B2
"Индейец Джо начал требовать больше денег за свою работу, а когда доктор отказался, вспыхнуло настоящее столкновение.","Джо требовал больше денег за работу, когда доктор отказался.",A1,A2
— Никто никогда не дразнил!,Никто никогда не дразнил.,B2,B2
"Впрочем, ведь там на дворе – двое, и когда начнется – они дадут знать…","Впрочем, ведь там на дворе – двое, и когда начнется, они дадут знать.",A1,C1
"— подумал я, смотря на неё с удивлением. ",Я смотрел на нее с удивлением.,A1,A2
"Это событие должно было стать радостью для девочки, ведь она всегда жаждала учиться и открывать новое.","Это событие должно было стать радостью для девочки, ведь она всегда хотела учиться и открывать новое.",A2,A1
"– Утюг – тяжелый, надо под конец, чтобы не таскать его все время, – резонно возражала Диди.","– Утюг – тяжелый, надо под конец, чтобы не таскать его постоянно, – резонно возражала Диди.",B2,C1
В каком году исследователь Хью Уиллоби и капитан Ричард Ченслор отправились в поисках новых земель?,В каком году исследователь Хью Уиллоби и капитан Ричард Ченслор отправились в поиски новых земель?,B2,A2
Через много недель лошадь вернулась и привела с собой четырёх диких жеребцов.,Лошадь вернулась через много недель и привела с собой четырёх диких жеребцов.,B1,A2
"И может, Дарье не надо фыркающих белым паром вахрамеевских рысаков, а вот сесть бы на эту лихо загнувшую голову деревянную лошадь – и за кого-то держаться – и чтоб ветром раздувало платье, ледком обжигало колени, а из плеча в плечо – как искра…","И может, Дарье не надо фыркающих белым паром вахрамеевских рысаков, а вот сесть бы на эту лихо загнувшую голову деревянную лошадь – и за кого-то держаться – и чтоб ветром раздувало платье, ледком обжигало колени, а из плеча в плечо – как искра.",C2,C1
Сегодня утром у Вани началась простуда.,Сегодня утром у Вани началась простуда.,A2,A1
(франц.)] Меня Епанчин почему так обижает?,Меня Епанчин почему так обижает?,B2,B2
"Обсудив все ""за"" и ""против"", друзья решили осуществить именно этот план.","Друзья обсудили все ""за"" и ""против"" и решили осуществить этот план.",A2,A1
"-- Этого крайне мало,-- заметил Остап, -- но я принимаю.","Этого мало, — заметил Остап, — но я принимаю.",B1,B2
"Онегин чувствовал, что его сердце снова бьется быстрее.","Онегин чувствовал, что его сердце бьется быстрее.",C2,A1
"Ну что, это тоже энергия, правда?",Это тоже энергия.,B2,A2
Мы с ним здесь…,Мы с ним здесь.,A2,B2
"Зачем он заходит нарочно к Николаю Ардалионовичу, делая крюк-с, и передает ему, что «иду, дескать, доночевывать к Вилкину».","Почему он ходит к Николаю Ардалионовичу, делая крюк-с, и передает ему, что «иду, дескать, доносить к Вилкину».",B1,B2
"Представиться ей, понравиться, может быть, сделаться её любовником, но на это всё требуется время, а ей восемьдесят семь лет, она может умереть через неделю, через два дня!.. ","Представиться ей, понравиться, может быть, сделаться её любовником, но на это всё требуется время, а ей восемьдесят семь лет, она может умереть через неделю, через два дня.",B1,B1
"Он тоже опоздал на лекцию, решил не входить в аудиторию, но подождать меня.","Он опоздал на лекцию, решил не входить в аудиторию, но подождать меня.",B2,A2
"Все доверчиво отдавали свои гривенники, и один румяный турист, завидя Остапа, сказал жене торжествующе:","Все доверчиво отдавали свои гривенники, и один румяный турист, завидев Остапа, сказал жене:",C2,C2
"— Виктор, я хотел спросить тебя о зиме!","— Виктор, я хотел спросить тебя о зиме!",A1,A2
Но пчёлы оказались не такими глупыми.,Но пчёлы оказались не такими глупыми.,B1,A2
"Но тут он почувствовал, что песок в его часах закончился.","Он почувствовал, что песок в часах закончился.",C1,C2
Он внимательно и немного странно — так ей уже потом казалось — посмотрел ей в лицо и глаза и ответил с своей спокойной улыбкой: — Я тебя люблю ужасно. ,Он посмотрел ей в лицо и глаза и ответил с спокойной улыбкой: — Я тебя люблю.,B2,B1
– Что за дикая терминология: «мой».,Что такое терминология: «мой».,A2,C1
После солнца – да в темь: совсем ослеп.,"После солнца, в темноте: совсем ослеп.",C2,C1
— Зачем ты это прибавил?,Почему ты это добавил?,C2,A1
Они тоже живут в Москве.,Они живут в Москве.,C2,A1
"Вы слишком добры, что еще заботитесь.",Вы слишком хорошо заботитесь.,B1,C2
Миссис Лори подвинула стул.,Лори подвинула стул.,C1,C1
– Сегодня мне надо купить подарок для Макса.,Мне нужно купить подарок для Макса.,B2,A1
"— Безобразие и хаос везде, сударыня, найдешь, — проговорил, значительно, впрочем, озадаченный, племянник Лебедева.","— Безобразие и хаос везде, — сказал племянник Лебедева.",B2,B2
"Кристофер Робин объяснил, что, хотя они не будут видеться каждый день, он никогда не забудет своих друзей и их приключения.","Кристофер Робин объяснил, что, хотя они не будут видеться каждый день, он никогда не забудет своих друзей и их приключения.",C2,A2
"Я вам одно могу посоветовать: сегодня же, сейчас же к нему – и заткните ему глотку этими самыми поленьями.","Сегодня же, сейчас же к нему – и заткните ему глотку этими самыми поленьями.",A1,C1
"Через неделю Андрей пришёл снова и сказал, что голова уже не болит.","Андрей вернулся через неделю и сообщил, что его головная боль исчезла.",C2,A1
Долли одна вышла встретить гостью,Долли встретила гостью.,B2,B1
"Только окончив, Треухов понял, что и он ни слова не сказал о трамвае, ""Вот обидно, -- подумал он,-- абсолютно мы не умеем говорить, абсолютно"".","Треухов понял, что он ничего не сказал о трамвае, ""Вот обидно, -- подумал он,-- мы не умеем говорить"".",B1,C2
На шампанском и чтоб устроить праздник настаивал изо всех сил и Коля.,"Коля настаивал на том, чтобы устроить шампанским праздник.",B1,A1
"Направо от меня – она, тонкая, резкая, упрямо-гибкая, как хлыст, I-330 (вижу теперь ее нумер); налево – О, совсем другая, вся из окружностей, с детской складочкой на руке; и с краю нашей четверки – неизвестный мне мужской нумер – какой-то дважды изогнутый, вроде буквы S. Мы все были разные…","Направо от меня – она, тонкая, резкая, упрямо-гибкая, как хлыст, I-330 (вижу теперь ее нумер); налево – О, совсем другая, вся из окружностей, с детской складочкой на руке; и с краю нашей четверки – неизвестный мне мужской нумер – какой-то дважды изогнутый, вроде буквы S.",B1,C1
О предстоящем освобождении снимаемой в аренду квартиры известить Арендодателя не менее чем за три недели.,Необходимо заранее уведомить Арендодателя о сдаче арендованной квартиры не менее чем за три недели.,A1,A2
"Но взрослые только ласково улыбались и говорили, что это был всего лишь сон, вызванный бурей.","Но взрослые только улыбались и говорили, что это был всего лишь сон, вызванный бурей.",B1,A2
"Маменьки смотрят, с кем можно выгодно сосватать дочерей.","Мама смотрит, с кем можно выгодно жениться на дочери.",C2,A2
Он хотел привлечь бояр!,Он хотел привлечь бояр.,C1,A2
Но в голове Алисы ещё долго витали образы из её странного сна.,Но в голове Алисы долго витали образы из её сна.,A2,A2
"В какой-то момент он заметил, что деревья на одной стороне тропы были покрыты редким мхом — словно зеленым покрывалом, которое светилось при первом утреннем солнце.","В какой-то момент он заметил, что деревья на одной стороне тропы были покрыты редким мхом.",B1,C2
"И однако же, он сам было решился передать ему это письмо, лично, и уже вышел для этого из дому, но на дороге раздумал.","Он сам решил передать ему это письмо, лично, и уже вышел из дому, но на дороге раздумал.",B1,B2
"Он сердится на Чацкого, считая, что тот привнёс хаос.",Он сердится на Чацкого.,A2,A2
"И бьюсь об заклад, что ты прямо тогда на чугунку и сюда в Павловск на музыку прикатил и в толпе ее точно так же, как и сегодня, следил да высматривал.","Я уверен, что ты прямо тогда на чугунку и сюда в Павловск на музыку приехал и в толпе ее точно так же, как и сегодня, следил да высматривал.",B1,B2
"Слава Богу, мы с Лаврентием Аркадьевичем успели вовремя. ","Слава Богу, мы успели вовремя.",A1,C2
"Она может любить меня, сколько хочет, но я не люблю её.","Она может любить меня, сколько хочет, но я не люблю ее.",A2,A2
"Там, в черном небе, мелькали белые треугольники, линии, неслись с топотом и гулом глухие черепахи-дома, деревья.","Там, в черном небе, мелькали белые треугольники.",B2,C2
"Элисон умоляла его остаться, но Николас настоял на своём.","Элисон умоляла его остаться, но Николас настоял на своём.",B1,A1
"Николас уже начал сомневаться, всё ли это ему не приснилось.","Николас начал сомневаться, что это ему не приснилось.",A2,A1
После них и все домашние. ,После них и все домашние.,A2,B2
"— «В этом рассказе, — отмечает А. Г. Достоевская, — отразились дрезденские впечатления 1867 года: на Johannesstrasse, где мы жили, находилась народная школа, и Федор Михайлович всегда останавливался, когда видел детей, выходящих из школы, и внимательно к ним присматривался (Гроссман Л. П. Семинарий по Достоевскому.","— «В этом рассказе, — отмечает А. Г. Достоевская, — отразились дрезденские впечатления 1867 года: на Johannesstrasse, где мы жили, находилась народная школа, и Федор Михайлович всегда останавливался, когда видел детей, выходящих из школы, и внимательно к ним присматривался.",C1,B2
Я вам потом это всё разъясню…,Я вам потом это всё объясню.,A2,B1
"— Ну коли так, — воскликнул Рогожин, — совсем ты, князь, выходишь юродивый, и таких, как ты, бог любит!","— Ну так, — воскликнул Рогожин, — совсем ты, князь, выходишь юродивый, и таких, как ты, бог любит!",A1,B2
"Старик приказал старшему брату каждый день носить на руках телёнка, пока из него не вырастет бык.",Старик приказал старшему брату каждый день носить на руках телёнка.,C1,A2
А то ведь и на Чеботариху самое взъестся подчас.,А вот и на Чеботариху самое взбесится.,C1,C1
Первые отзывы о романе дошли до Достоевского еще до окончания «Идиота» от его петербургских корреспондентов.,Первые отзывы о романе дошли до Достоевского еще до окончания «Идиота».,C2,B2
"Тёмной ночью, в грозу, то ли опасаясь шторма, то  ли по иной какой причине, он ввёл эскадру в устье реки Эмбаха и беспечно напился пьян на борту флагманской яхты «Каролус». ","В темное время суток, когда шел дождь, он ввел эскадру в устье реки Эмбах и пьянствовал на борту флагманской яхты «Каролус».",B1,B1
"Сверкнуло нестерпимо острое лезвие луча – как дрожь, еле слышный треск в трубках Машины.","Лезвие луча сверкнуло, как дрожь в трубках Машины.",B1,C1
Это очень понравилось Аглае,Это очень понравилось Аглае.,C2,B2
"Афанасий Иванович испугался вдвое, услышав про обещание рассказа.",Афанасий Иванович испугался.,A2,B1
"Левин прочитал и, несмотря на сначала полемический, элегантный и остроумный тон, был удивлён в них учением о церкви. ","Левин прочитал и, несмотря на сначала полемический, элегантный и остроумный тон, был удивлен в них учением о церкви.",A1,B1
"-- Ну, как? -- тихо спросил гроссмейстер.",Как? — тихо спросил гроссмейстер.,A2,B1
"Кто знает, до чего дошел бы Остап в своих сатирических упражнениях, если бы его не прервал быстро подошедший мужчина в костюме лодзинских коричневых цветов.","Кто знает, до чего дошел бы Остап в своих сатирических упражнениях, если бы его не прервал быстро подошедший мужчина в костюме лодзинских коричневых цветов.",C1,C2
Князь был всю ночь в лихорадке.,Князь болел всю ночь.,C1,B1
"И вот – выметенный мгновенной чумой, опустелый, гулкий, геометрический город: безмолвные купола, пирамиды, окружности, дуги, башни, зубцы.","И вот – выметенный мгновенной чумой, опустелый, гулкий, геометрический город: безмолвные купола, пирамиды, окружности, дуги, башни, зубцы.",C2,C1
"— Пойдемте к Аглае Ивановне, пойдемте сейчас!..","Пойдемте к Аглае Ивановне, пойдемте сейчас!",A1,B1
"Напрасно девицы уверяли, что человек, не писавший полгода, может быть, далеко не будет так тороплив и теперь и что, может быть, у него и без них много хлопот в Петербурге, — почем знать его дела?","Напрасно девицы уверяли, что человек, не писавший полгода, может быть, далеко не будет так тороплив и теперь и что, может быть, у него и без них много хлопот в Петербурге.",C2,B2
Мой брат учит математику.,Мой брат учит математику.,A2,A1
"Его шерсть стала чистой, глаза ясными, он радостно встречал Герасима.","Шерсть его стала чистой, глаза ясными, он радостно встречал Герасима.",C1,A2
"К поезду я пришёл немного раньше, так как неправильно запомнил время.","Я пришел на поезд немного раньше, потому что неправильно запомнил время.",C2,A2
"-- Завтра, -- говорил он, -- завтра, завтра, завтра.","Завтра, завтра, завтра.",B2,C1
И снова начался мой ужасный насморк.,Я снова начал испытывать ужасный насморк.,B1,C1
"Ты никогда и понять не мог, как бы ты в ее глазах интересен стал, если бы с твердостию и гордостию умел переносить нашу обстановку.","Ты никогда и не понимал, как бы ты в ее глазах был интересен, если бы умел переносить нашу обстановку.",B2,B1
Вокзал был очень большой и шумный.,Вокзал был большой и шумный.,A2,C2
Но … зачем так много исключений?,Почему так много исключений?,A2,B1
"Генерал покраснел ужасно, Коля тоже покраснел и стиснул себе руками голову;","Генерал покраснел, Коля тоже покраснел и стиснул себе руками голову.",A1,B2
"Изучал строение рака, его жизнь, нравы, происхождение и возможности. ","Строение рака, его жизнь, нравы, происхождение и возможности.",B2,B1
"Вторая фабрика, которая появилась в России, - это фабрика Абрикосова.",Фабрика Абрикосова.,B1,A1
"И, машинально выдавая пропуска счастливым теа- и кинокритикам, притихший Яков Менелаевич продолжал вспоминать, где он видел эти чистые глаза.","Яков Менелаевич продолжал вспоминать, где он видел эти чистые глаза.",A1,B1
"Решив всё-таки посетить специалиста, Светлана получила неожиданные новости: её лёгкие нуждались в бережном уходе, а привычный образ жизни требовал изменений.","Светлана решила посетить специалиста. Она узнала, что ее легкие нуждаются в бережном уходе, а привычный образ жизни требует изменений.",B2,C2
"— И прибавьте: при моих собственных обстоятельствах мне и самому есть о чем задуматься, так что я сам себе удивляюсь, что весь вечер не могу оторваться от этой противной физиономии!","— И прибавьте: при моих собственных обстоятельствах мне и самому есть о чем задуматься, так что я сам себе удивляюсь, что весь вечер не могу оторваться от этой физиономии!",A1,B2
"Если бы ткань Ваших рассказов была проще, они бы действовали сильнее.","Если бы ткань ваших рассказов была проще, они бы действовали сильнее.",B1,C2
"-- Пойдемте в театр,-- предложил Ипполит Матвеевич.",Пойдемте в театр.,A2,C2
"Вернувшись домой, Алексей Александрович прошёл к себе в кабинет, сел в кресло, открыл на заложенном месте книгу и читал до часу, как обыкновенно делал. ","Алексей Александрович вернулся домой, сел в кресло, открыл книгу и читал до часу, как обычно.",B2,B1
"Сантьяго схватил гарпун и нанёс ей смертельный удар, но акула утащила гарпун в море.","Сантьяго схватил гарпун и нанёс ей смертельный удар, но акула утащила его в море.",A1,A2
"Он вспоминал свою молодость, как он когда-то побеждал в драке сильного человека, как он видел львов на берегу Африки, как плавал на больших кораблях.","Он вспоминал свою молодость, когда он побеждал в драке сильного человека, видел львов на берегу Африки, плавал на больших кораблях.",C2,A2
Сегодня у вас с визитом будет наш новый батарейный командир Вершинин. ,Сегодня у вас с визитом будет наш новый батарейный командир.,A1,B1
"— восторженно проговорил Лебедев, прижимая шляпу к сердцу.","Лебедев восторженно проговорил, прижимая шляпу к сердцу.",C2,B2
"Поставила мопса на камин, посмотрела в очаровательно-безобразную морду.","Поставила мопса на камин, посмотрела на нее.",A2,C1
Она заполняется сме сью из муки с молоком и дрожжами. ,Она заполняется смузи из муки с молоком и дрожжами.,A2,A2
"На неслышных, пружинных, как у зверя, ногах мужчина крадется…","Мужчина крадется на неслышных, пружинных, как у зверя, ногах.",A2,C1
"Когда я правильно вставил батарейки и включил робота, он начал двигаться и светить светом.","Когда я вставил батарейки и включил робота, он начал двигаться и светиться.",C2,A1
"— Господин Казанзаки, где д’Эвре? ","Господин Казанзаки, где д’Эвре?",A1,B1
"Я знаю, что эта маленькая черная стрелка на часах сползет вот сюда, вниз, к полночи, снова медленно подымется вверх, перешагнет какую-то последнюю черту – и настанет невероятное завтра.","Я знаю, что эта маленькая черная стрелка на часах сползет сюда, вниз, к полночи, снова медленно поднимется вверх, пересечет какую-то последнюю черту – и настанет невероятное завтра.",B1,C1
"-- Слово предоставляется главному инженеру, товарищу Треухову!","Главному инженеру, товарищу Треухову!",B2,C2
"— Я пришёл вам сказать, что я завтра уезжаю в Москву и не верну-сь более в этот дом, и вы будете иметь известие о моём решении через адвоката, который займётся делом о разводе. ","Я завтра уезжаю в Москву и больше не вернусь в этот дом. Вы будете иметь известие о моем решении через адвоката, который займется делом о разводе.",C1,B1
"— отвечал Томский, — у неё было четверо сыновей, в том числе и мой отец: все игроки, и ни одному не открыла она своей тайны; хоть это было бы неплохо для них и даже для меня. ","— Отвечал Томский, — у нее было четверо сыновей, в том числе и мой отец: все игроки, и ни одному не открыла она свою тайну; хоть это было бы неплохо для них и даже для меня.",C1,B1
Даже слишком уж много чести получите!,Чтобы получить слишком много чести!,C2,B2
"и, кто знает, может, эта баба женой тому же солдату была.",Эта женщина могла быть его женой.,A1,A2
"Этот опыт напомнил ей, что здоровье — не всегда о цифрах и правилах, а о балансе между внешним контролем и внутренним знанием себя.","Этот опыт напомнил ей, что здоровье — не всегда о цифрах и правилах, а о балансе между внешним контролем и внутренним знанием себя.",A1,C1
"Входит Андрей с колясочкой, показывается Ферапонт.","Андрей входит в коляску, показывается Ферапонт.",C2,B2
"Среди детей были популярны различные игрушки, жонглирование и игры с мячом, также были найдены свидетельства популярности борьбы.","Среди детей были популярны различные игрушки, жонглирование и игры с мячом, также были найдены свидетельства популярности борьбы.",A1,A2
"Она мечтала, как они будут ужинать вместе.","Она мечтала, что они будут ужинать вместе.",C1,A2
"Предлоги, как люди, дружат не только все вместе, но и парами.","Предлоги, как люди, дружат не только все вместе, но и парами.",B2,A2
"– Я думал, это моя дверь.","Я думал, это моя дверь.",A2,A1
Кланяйся ему от меня.,Кланяйся.,C1,B2
